yyyy/mmdd(or -ddd)/hh.h):2018/1207/11.0UT  geog Lat/Long/Alt= 76.0/   5.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  59943.6   NmF1=      0.0   NmE=   4053.1
Peak Heights/km:     hmF2=   220.63   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              98.9
Dip (Magnetic Inclination)/degree                      81.24
Modip (Modified Dip)/degree                            70.87
Solar Sunspot Number (12-months running mean) Rz12      4.3           
Ionospheric-Effective Solar Index IG12                -11.3           
Solar radio flux F10.7 (daily)                         68.1           
Solar radio flux F10.7 (81-day average)                67.8           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 300.0   40355  0.673   715  1046  2115 978  17   2   2   0   0  -1   1.3  75
 301.0   40038  0.668   715  1050  2122 978  17   2   2   0   0  -1   1.3  75
 302.0   39724  0.663   715  1053  2129 978  17   2   2   0   0  -1   1.3  75
 303.0   39410  0.657   715  1057  2135 978  17   2   2   0   0  -1   1.3  75
 304.0   39098  0.652   715  1060  2142 978  17   2   2   0   0  -1   1.3  75
 305.0   38787  0.647   715  1064  2149 978  18   2   2   0   0  -1   1.3  75
 306.0   38478  0.642   715  1067  2156 978  18   2   2   0   0  -1   1.3  75
 307.0   38170  0.637   715  1071  2162 977  18   2   2   0   0  -1   1.3  75
 308.0   37864  0.632   715  1074  2169 977  18   3   2   0   0  -1   1.3  75
 309.0   37560  0.627   715  1077  2176 977  18   3   2   0   0  -1   1.3  75
 310.0   37257  0.622   715  1081  2182 977  18   3   2   0   0  -1   1.3  75
 311.0   36955  0.617   715  1084  2189 977  18   3   2   0   0  -1   1.3  75
 312.0   36656  0.612   715  1088  2196 977  18   3   3   0   0  -1   1.3  75
 313.0   36358  0.607   715  1091  2203 977  18   3   3   0   0  -1   1.3  75
 314.0   36061  0.602   715  1095  2209 977  18   3   3   0   0  -1   1.3  75
 315.0   35767  0.597   715  1098  2216 976  18   3   3   0   0  -1   1.3  75
 316.0   35474  0.592   715  1102  2223 976  18   3   3   0   0  -1   1.3  75
 317.0   35183  0.587   715  1105  2229 976  18   3   3   0   0  -1   1.3  75
 318.0   34894  0.582   715  1109  2236 976  19   3   3   0   0  -1   1.3  75
 319.0   34607  0.577   715  1112  2243 976  19   3   3   0   0  -1   1.3  75
 320.0   34322  0.573   715  1116  2250 976  19   3   3   0   0  -1   1.3  75
 321.0   34038  0.568   715  1119  2256 976  19   3   3   0   0  -1   1.3  75
 322.0   33756  0.563   715  1123  2263 976  19   3   3   0   0  -1   1.3  75
 323.0   33477  0.558   715  1126  2270 975  19   3   3   0   0  -1   1.3  75
 324.0   33199  0.554   715  1130  2276 975  19   3   3   0   0  -1   1.3  75
 325.0   32923  0.549   715  1133  2283 975  19   3   3   0   0  -1   1.3  75
 326.0   32650  0.545   715  1137  2290 975  19   3   3   0   0  -1   1.3  75
 327.0   32378  0.540   715  1140  2297 975  19   3   3   0   0  -1   1.3  75
 328.0   32108  0.536   715  1143  2303 975  19   3   3   0   0  -1   1.3  75
 329.0   31840  0.531   715  1147  2310 975  19   3   3   0   0  -1   1.3  75
